candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
34,candidate-0034-will-smith,Will Smith,1968,ACTOR,United States,M,112,78.95,https://en.wikipedia.org/?curid=154698,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
138,candidate-0138-rod-stewart,Rod Stewart,1945,SINGER,United Kingdom,M,67,74.27,https://en.wikipedia.org/?curid=105407,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
206,candidate-0206-gianni-rivera,Gianni Rivera,1943,SOCCER PLAYER,Italy,M,52,72.09,https://en.wikipedia.org/?curid=615868,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
162,candidate-0162-fernando-santos,Fernando Santos,1954,SOCCER PLAYER,Portugal,M,48,73.34,https://en.wikipedia.org/?curid=4511716,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
384,candidate-0384-leif-segerstam,Leif Segerstam,1944,CONDUCTOR,Finland,M,26,64.40,https://en.wikipedia.org/?curid=1289741,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
118,candidate-0118-eddie-jordan,Eddie Jordan,1948,BUSINESSPERSON,Ireland,M,38,75.29,https://en.wikipedia.org/?curid=697722,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
29,candidate-0029-nicolas-cage,Nicolas Cage,1964,ACTOR,United States,M,108,80.07,https://en.wikipedia.org/?curid=21111,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
167,candidate-0167-gerd-binnig,Gerd Binnig,1947,PHYSICIST,Germany,M,72,73.15,https://en.wikipedia.org/?curid=7790085,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
369,candidate-0369-irena-szewińska,Irena Szewińska,1946,ATHLETE,Russia,F,45,64.82,https://en.wikipedia.org/?curid=1041694,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
286,candidate-0286-massimo-moratti,Massimo Moratti,1945,BUSINESSPERSON,Italy,M,34,68.71,https://en.wikipedia.org/?curid=2372588,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
139,candidate-0139-joe-cocker,Joe Cocker,1944,SINGER,United Kingdom,M,79,74.23,https://en.wikipedia.org/?curid=88371,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
400,candidate-0400-morten-p-meldal,Morten P. Meldal,1954,CHEMIST,Denmark,M,45,63.71,https://en.wikipedia.org/?curid=22099993,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
