name,handle_or_url,category,birth_year,platform,known_for,source_list
Cameron Dallas,https://en.wikipedia.org/wiki/Cameron_Dallas,Content creator,1994,Vine/YouTube,Vine star; Magcon tour; Netflix movie,
Nash Grier,https://en.wikipedia.org/wiki/Nash_Grier,Content creator,1997,Vine/YouTube,Vine star; Magcon tour,
Hayes Grier,https://en.wikipedia.org/wiki/Hayes_Grier,Content creator,2000,Vine/YouTube,Vine star; Magcon; Dancing with the Stars,
King Bach,https://en.wikipedia.org/wiki/King_Bach,Content creator,1988,Vine/YouTube,Most-followed Vine creator; actor,
Lele Pons,https://en.wikipedia.org/wiki/Lele_Pons,Content creator,1996,Vine/YouTube,Most-looped Viner; YouTube; music career,
Amanda Cerny,https://en.wikipedia.org/wiki/Amanda_Cerny,Content creator,1991,Vine/YouTube,Vine and YouTube star; model; actress,
Hannah Stocking,https://en.wikipedia.org/wiki/Hannah_Stocking,Content creator,1992,Vine/YouTube,Vine and YouTube creator; model,
Juanpa Zurita,https://en.wikipedia.org/wiki/Juanpa_Zurita,Content creator,1997,Vine/YouTube,Mexican Vine star; YouTube; model; actor,
Rudy Mancuso,https://en.wikipedia.org/wiki/Rudy_Mancuso,Content creator,1992,Vine/YouTube,Vine star; musician; YouTube,
Anwar Jibawi,https://en.wikipedia.org/wiki/Anwar_Jibawi,Content creator,1991,Vine/YouTube,Vine and YouTube comedy creator,
Thomas Sanders,https://en.wikipedia.org/wiki/Thomas_Sanders_(Internet_celebrity),Content creator,1989,Vine/YouTube,Vine star; YouTube; Broadway-style content,
Shawn Mendes,https://en.wikipedia.org/wiki/Shawn_Mendes,Music artist,1998,Vine,Vine singing covers; mainstream pop star by 17,
