name,handle_or_url,category,birth_year,platform,known_for,source_list
Uzi,https://en.wikipedia.org/wiki/Uzi_(gamer),Esports pro,1997,League of Legends,Chinese LoL legend; world championship finalist at 17,
Rookie,https://en.wikipedia.org/wiki/Rookie_(gamer),Esports pro,1997,League of Legends,LCK/LPL mid-laner; world champion at 17,
JackeyLove,https://en.wikipedia.org/wiki/JackeyLove,Esports pro,2000,League of Legends,World champion at 18; IG bot laner,
Chovy,https://en.wikipedia.org/wiki/Chovy,Esports pro,2001,League of Legends,Elite LCK mid-laner; prodigy from teenage debut,
ShowMaker,https://en.wikipedia.org/wiki/ShowMaker,Esports pro,2000,League of Legends,LCK mid-laner; world championship semifinalist,
Canyon,https://en.wikipedia.org/wiki/Canyon_(gamer),Esports pro,2001,League of Legends,LCK jungler; world champion with DWG,
Keria,https://en.wikipedia.org/wiki/Keria,Esports pro,2002,League of Legends,LCK support prodigy; world championship finalist,
Gumayusi,https://en.wikipedia.org/wiki/Gumayusi,Esports pro,2002,League of Legends,T1 bot laner; world champion,
Rekkles,https://en.wikipedia.org/wiki/Rekkles,Esports pro,1996,League of Legends,European LoL bot laner; debuted professionally at 16,
Caps,https://en.wikipedia.org/wiki/Caps_(gamer),Esports pro,1999,League of Legends,European LoL mid-laner; world championship finalist,
Perkz,https://en.wikipedia.org/wiki/Perkz,Esports pro,1998,League of Legends,European LoL legend; MSI champion,
Bjergsen,https://en.wikipedia.org/wiki/Bjergsen,Esports pro,1996,League of Legends,NA LCS mid-laner; multiple-time MVP,
