candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-108-01-gwynne-shotwell,Gwynne Shotwell,1963,Founder: SpaceX,,,,,https://en.wikipedia.org/wiki/Gwynne_Shotwell,unresearched,unverified_candidate,40pct high-yield founder: SpaceX
2,fe-108-02-tom-mueller,Tom Mueller,1961,Founder: SpaceX,,,,,https://en.wikipedia.org/wiki/Tom_Mueller,unresearched,unverified_candidate,40pct high-yield founder: SpaceX
3,fe-108-03-brian-binnie,Brian Binnie,1953,Founder: SpaceShipOne,,,,,https://en.wikipedia.org/wiki/Brian_Binnie,unresearched,unverified_candidate,40pct high-yield founder: SpaceShipOne
4,fe-108-04-burt-rutan,Burt Rutan,1943,Founder: Scaled Composites,,,,,https://en.wikipedia.org/wiki/Burt_Rutan,unresearched,unverified_candidate,40pct high-yield founder: Scaled Composites
5,fe-108-05-robert-bigelow,Robert Bigelow,1944,Founder: Bigelow Aerospace,,,,,https://en.wikipedia.org/wiki/Robert_Bigelow,unresearched,unverified_candidate,40pct high-yield founder: Bigelow Aerospace
6,fe-108-06-lee-robinson,Lee Robinson,1993,Founder: Vercel,,,,,https://en.wikipedia.org/wiki/Lee_Robinson_(software_engineer),unresearched,unverified_candidate,40pct high-yield founder: Vercel
7,fe-108-07-shaan-puri,Shaan Puri,1987,Founder: Twitch/Milk Road,,,,,https://en.wikipedia.org/wiki/Shaan_Puri,unresearched,unverified_candidate,40pct high-yield founder: Twitch/Milk Road
8,fe-108-08-harry-stebbings,Harry Stebbings,1996,Founder: 20VC,,,,,https://en.wikipedia.org/wiki/Harry_Stebbings,unresearched,unverified_candidate,40pct high-yield founder: 20VC
9,fe-108-09-mo-gawdat,Mo Gawdat,1967,Founder: Google X,,,,,https://en.wikipedia.org/wiki/Mo_Gawdat,unresearched,unverified_candidate,40pct high-yield founder: Google X
10,fe-108-10-astro-teller,Astro Teller,1970,Founder: Google X,,,,,https://en.wikipedia.org/wiki/Astro_Teller,unresearched,unverified_candidate,40pct high-yield founder: Google X
11,fe-108-11-sterling-anderson,Sterling Anderson,1982,Founder: Aurora/Tesla,,,,,https://en.wikipedia.org/wiki/Sterling_Anderson,unresearched,unverified_candidate,40pct high-yield founder: Aurora/Tesla
12,fe-108-12-akshay-kothari,Akshay Kothari,1986,Founder: Notion,,,,,https://en.wikipedia.org/wiki/Akshay_Kothari,unresearched,unverified_candidate,40pct high-yield founder: Notion
