candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-x2-210-01-tony-dinh,Tony Dinh,1992,X @tdinh_me (80k): indie maker,,,,,https://twitter.com/tdinh_me,unresearched,unverified_candidate,X young-builder wave @tdinh_me ~80000 followers; indie maker
2,fe-x2-210-02-jon-yongfook,Jon Yongfook,1985,X @yongfook (80k): Bannerbear,,,,,https://twitter.com/yongfook,unresearched,unverified_candidate,X young-builder wave @yongfook ~80000 followers; Bannerbear
3,fe-x2-210-03-courtland-allen,Courtland Allen,1988,X @csallen (100k): Indie Hackers,,,,,https://en.wikipedia.org/wiki/Courtland_Allen,unresearched,unverified_candidate,X young-builder wave @csallen ~100000 followers; Indie Hackers
4,fe-x2-210-04-james-bedell,James Bedell,1990,X @js_dev (40k): indie,,,,,https://twitter.com/js_dev,unresearched,unverified_candidate,X young-builder wave @js_dev ~40000 followers; indie
5,fe-x2-210-05-ernesto-tagwerker,Ernesto Tagwerker,1988,X @etagwerker (40k): OmbuLabs,,,,,https://twitter.com/etagwerker,unresearched,unverified_candidate,X young-builder wave @etagwerker ~40000 followers; OmbuLabs
6,fe-x2-210-06-benedict-evans,Benedict Evans,1976,X @BenedictEvans (500k): analyst,,,,,https://en.wikipedia.org/wiki/Benedict_Evans,unresearched,unverified_candidate,X young-builder wave @BenedictEvans ~500000 followers; analyst
7,fe-x2-210-07-packy-mccormick,Packy McCormick,1990,X @packyM (200k): Not Boring,,,,,https://en.wikipedia.org/wiki/Packy_McCormick,unresearched,unverified_candidate,X young-builder wave @packyM ~200000 followers; Not Boring
8,fe-x2-210-08-lenny-rachitsky,Lenny Rachitsky,1985,X @lennysan (300k): Lenny newsletter,,,,,https://en.wikipedia.org/wiki/Lenny_Rachitsky,unresearched,unverified_candidate,X young-builder wave @lennysan ~300000 followers; Lenny newsletter
9,fe-x2-210-09-casey-winters,Casey Winters,1985,X @caseyaccidental (100k): growth,,,,,https://twitter.com/caseyaccidental,unresearched,unverified_candidate,X young-builder wave @caseyaccidental ~100000 followers; growth
10,fe-x2-210-10-james-halliday,James Halliday,1986,X @substack (50k): browserify,,,,,https://en.wikipedia.org/wiki/James_Halliday,unresearched,unverified_candidate,X young-builder wave @substack ~50000 followers; browserify
11,fe-x2-210-11-dominic-tarr,Dominic Tarr,1985,X @dominictarr (40k): scuttlebutt,,,,,https://github.com/dominictarr,unresearched,unverified_candidate,X young-builder wave @dominictarr ~40000 followers; scuttlebutt
12,fe-x2-210-12-mikeal-rogers,Mikeal Rogers,1981,X @mikeal (50k): request Node,,,,,https://en.wikipedia.org/wiki/Mikeal_Rogers,unresearched,unverified_candidate,X young-builder wave @mikeal ~50000 followers; request Node
