candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
97,candidate-0097-ozzy-osbourne,Ozzy Osbourne,1948,SINGER,United Kingdom,M,74,76.29,https://en.wikipedia.org/?curid=85406,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
12,candidate-0012-gerd-müller,Gerd Müller,1945,SOCCER PLAYER,Germany,M,85,83.25,https://en.wikipedia.org/?curid=172313,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
321,candidate-0321-hagen-kleinert,Hagen Kleinert,1941,PHYSICIST,Poland,M,28,67.09,https://en.wikipedia.org/?curid=1214030,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
70,candidate-0070-jean-claude-van-damme,Jean-Claude Van Damme,1960,ACTOR,Belgium,M,80,77.45,https://en.wikipedia.org/?curid=89265,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
314,candidate-0314-lella-lombardi,Lella Lombardi,1941,RACING DRIVER,Italy,F,31,67.36,https://en.wikipedia.org/?curid=1235922,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
7,candidate-0007-aretha-franklin,Aretha Franklin,1942,SINGER,United States,F,100,83.92,https://en.wikipedia.org/?curid=147367,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
398,candidate-0398-linda-evangelista,Linda Evangelista,1965,MODEL,Canada,F,42,63.75,https://en.wikipedia.org/?curid=276353,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
110,candidate-0110-j-m-coetzee,J. M. Coetzee,1940,WRITER,South Africa,M,94,75.60,https://en.wikipedia.org/?curid=333250,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
150,candidate-0150-john-lydon,John Lydon,1956,SINGER,United Kingdom,M,49,73.88,https://en.wikipedia.org/?curid=23369262,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
179,candidate-0179-zlatan-ibrahimović,Zlatan Ibrahimović,1981,SOCCER PLAYER,Sweden,M,99,73.03,https://en.wikipedia.org/?curid=728776,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
251,candidate-0251-andrzej-żuławski,Andrzej Żuławski,1940,FILM DIRECTOR,Ukraine,M,35,70.90,https://en.wikipedia.org/?curid=44232,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
119,candidate-0119-roger-waters,Roger Waters,1943,MUSICIAN,United Kingdom,M,69,75.18,https://en.wikipedia.org/?curid=173825,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
