candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
369,candidate-0369-yasuo-takamori,Yasuo Takamori,1934,SOCCER PLAYER,Japan,M,52,69.19,https://en.wikipedia.org/?curid=20641239,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1624,candidate-1624-abdulaziz-al-omari,Abdulaziz al-Omari,1979,DESIGNER,Saudi Arabia,M,20,53.09,https://en.wikipedia.org/?curid=2198,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
1397,candidate-1397-rasmus-lerdorf,Rasmus Lerdorf,1968,COMPUTER SCIENTIST,Greenland,M,42,57.01,https://en.wikipedia.org/?curid=465672,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2212,candidate-2212-krzysztof-wielicki,Krzysztof Wielicki,1950,MOUNTAINEER,Poland,M,28,61.00,https://en.wikipedia.org/?curid=907630,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
844,candidate-0844-sergei-khrushchev,Sergei Khrushchev,1935,ENGINEER,Russia,M,15,63.00,https://en.wikipedia.org/?curid=549840,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2522,candidate-2522-adam-przeworski,Adam Przeworski,1940,POLITICAL SCIENTIST,Poland,M,16,55.34,https://en.wikipedia.org/?curid=4069030,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
501,candidate-0501-gidon-kremer,Gidon Kremer,1947,MUSICIAN,Latvia,M,31,68.16,https://en.wikipedia.org/?curid=408458,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2450,candidate-2450-hudson-austin,Hudson Austin,1938,MILITARY PERSONNEL,Grenada,M,20,56.51,https://en.wikipedia.org/?curid=8269757,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
883,candidate-0883-paul-belmondo,Paul Belmondo,1963,RACING DRIVER,France,M,30,62.52,https://en.wikipedia.org/?curid=1235361,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
768,candidate-0768-charly-gaul,Charly Gaul,1932,CYCLIST,Luxembourg,M,27,63.81,https://en.wikipedia.org/?curid=1871428,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2503,candidate-2503-kaija-mustonen,Kaija Mustonen,1941,SKATER,Finland,F,20,55.67,https://en.wikipedia.org/?curid=4198153,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
601,candidate-0601-niko-kovač,Niko Kovač,1971,SOCCER PLAYER,Germany,M,50,67.47,https://en.wikipedia.org/?curid=742397,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
