candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,candidate-03-01-charles-k.-kao,Charles K. Kao,1933,INVENTOR,China,M,68,69.485747,https://en.wikipedia.org/?curid=51012,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
2,candidate-03-02-françois-englert,François Englert,1932,PHYSICIST,Belgium,M,69,73.029395,https://en.wikipedia.org/?curid=8370210,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
3,candidate-03-03-jules-a.-hoffmann,Jules A. Hoffmann,1941,BIOLOGIST,Luxembourg,M,54,71.616197,https://en.wikipedia.org/?curid=14449397,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
4,candidate-03-04-niklaus-wirth,Niklaus Wirth,1934,COMPUTER SCIENTIST,Switzerland,M,54,69.80342,https://en.wikipedia.org/?curid=21642,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
5,candidate-03-05-georg-bednorz,Georg Bednorz,1950,PHYSICIST,Germany,M,69,76.578776,https://en.wikipedia.org/?curid=7710506,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
6,candidate-03-06-pierre-gilles-de-gennes,Pierre-Gilles de Gennes,1932,PHYSICIST,France,M,62,69.574987,https://en.wikipedia.org/?curid=575754,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
7,candidate-03-07-amancio-ortega,Amancio Ortega,1936,BUSINESSPERSON,Spain,M,52,75.75531,https://en.wikipedia.org/?curid=10841489,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
8,candidate-03-08-arthur-b.-mcdonald,Arthur B. McDonald,1943,ASTRONOMER,Canada,M,65,69.466648,https://en.wikipedia.org/?curid=14031024,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
9,candidate-03-09-michel-mayor,Michel Mayor,1942,ASTRONOMER,Switzerland,M,62,72.004836,https://en.wikipedia.org/?curid=572654,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
10,candidate-03-10-robert-coleman-richardson,Robert Coleman Richardson,1937,PHYSICIST,United States,M,65,74.474671,https://en.wikipedia.org/?curid=2206099,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
11,candidate-03-11-ada-yonath,Ada Yonath,1939,BIOLOGIST,Israel,F,81,73.999948,https://en.wikipedia.org/?curid=38502761,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
12,candidate-03-12-m.-stanley-whittingham,M. Stanley Whittingham,1941,CHEMIST,United Kingdom,M,51,73.908492,https://en.wikipedia.org/?curid=7694425,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
