name,birth_year,occupation,notes
Howard Aiken,1900,engineer,Harvard Mark I
Tom Kilburn,1921,engineer,Manchester Baby
Maurice Wilkes,1913,engineer,EDSAC
Jay Forrester,1918,engineer,Whirlwind/core memory
Eckert & Mauchly,1919,engineer,ENIAC
Grace Hopper,1906,engineer,compiler/COBOL
Anita Borg,1949,researcher,women in computing
Radia Joy Perlman,1951,researcher,networking
Sally Floyd,1950,researcher,TCP congestion control
Van Jacobson,1950,researcher,TCP/IP
S. Keshav,1960,researcher,networking
Deborah Estrin,1959,researcher,sensor networks
