candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,tech-custom-07-01-chris-hughes,Chris Hughes,1983,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded Facebook at 21
2,tech-custom-07-02-edward-witten,Edward Witten,1951,Physicist,United States,M,0,0,,unresearched,unverified_candidate,M-theory at 39
3,tech-custom-07-03-niels-bohr,Niels Bohr,1885,Physicist,Denmark,M,0,0,,unresearched,unverified_candidate,Bohr model at 27
4,tech-custom-07-04-bret-victor,Bret Victor,1970,Computer Scientist,United States,M,0,0,,unresearched,unverified_candidate,Apple at 26
5,tech-custom-07-05-martin-lorentzon,Martin Lorentzon,1969,Entrepreneur,Sweden,M,0,0,,unresearched,unverified_candidate,Co-founded Spotify at 36
6,tech-custom-07-06-charlie-cheever,Charlie Cheever,1981,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded Quora at 28
7,tech-custom-07-07-carl-friedrich-gauss,Carl Friedrich Gauss,1777,Mathematician,Germany,M,0,0,,unresearched,unverified_candidate,Disquisitiones at 21
8,tech-custom-07-08-hermann-weyl,Hermann Weyl,1885,Mathematician,Germany,M,0,0,,unresearched,unverified_candidate,PhD at 26
9,tech-custom-07-09-brian-acton,Brian Acton,1972,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded WhatsApp at 37
10,tech-custom-07-10-anita-roddick,Anita Roddick,1942,Entrepreneur,United Kingdom,F,0,0,,unresearched,unverified_candidate,Founded Body Shop at 34
11,tech-custom-07-11-freeman-dyson,Freeman Dyson,1923,Physicist,United Kingdom,M,0,0,,unresearched,unverified_candidate,Dyson series at 25
12,tech-custom-07-12-ken-thompson,Ken Thompson,1943,Computer Scientist,United States,M,0,0,,unresearched,unverified_candidate,Created Unix at 26
