name,wikipedia_url,category,birth_year,platform,known_for
Charli D'Amelio,https://en.wikipedia.org/wiki/Charli_D%27Amelio,TikTok creator,2004,TikTok,Most-followed TikTok creator at 16; mainstreamed dance trends
Addison Rae,https://en.wikipedia.org/wiki/Addison_Rae,TikTok creator,2000,TikTok,TikTok dance creator; crossed into music and film by 21
Khaby Lame,https://en.wikipedia.org/wiki/Khaby_Lame,TikTok creator,2000,TikTok,Most-followed TikTok creator globally; silent reaction videos
Bella Poarch,https://en.wikipedia.org/wiki/Bella_Poarch,TikTok creator,1997,TikTok,Viral lip-sync video; pivoted to music career
Dixie D'Amelio,https://en.wikipedia.org/wiki/Dixie_D%27Amelio,TikTok creator,2001,TikTok,TikTok creator; music career; reality TV
Josh Richards,https://en.wikipedia.org/wiki/Josh_Richards,TikTok creator,2002,TikTok,TikTok creator; co-founder TalentX; Sway House
Noah Beck,https://en.wikipedia.org/wiki/Noah_Beck,TikTok creator,2001,TikTok,TikTok creator; Sway House member; model
Avani Gregg,https://en.wikipedia.org/wiki/Avani_Gregg,TikTok creator,2002,TikTok,Clown makeup trend; Hype House member
Loren Gray,https://en.wikipedia.org/wiki/Loren_Gray,TikTok creator,2002,TikTok,Early Musical.ly/TikTok star; music career
Chase Hudson,https://en.wikipedia.org/wiki/Chase_Hudson,TikTok creator,2002,TikTok,Lil Huddy; co-founder Hype House; e-boy aesthetic
Tony Lopez,https://en.wikipedia.org/wiki/Tony_Lopez,TikTok creator,1999,TikTok,TikTok dance creator; Lopez Brothers
Ondreaz Lopez,https://en.wikipedia.org/wiki/Ondreaz_Lopez,TikTok creator,1997,TikTok,TikTok dance creator; Lopez Brothers
Baby Ariel,https://en.wikipedia.org/wiki/Baby_Ariel,TikTok creator,2000,TikTok,Musical.ly pioneer; anti-bullying campaign; acting
Kristen Hancher,https://en.wikipedia.org/wiki/Kristen_Hancher,TikTok creator,1999,TikTok/Instagram,Early Musical.ly/TikTok star; beauty content
Daisy Keech,https://en.wikipedia.org/wiki/Daisy_Keech,TikTok creator/Instagram influencer,1996,Instagram/TikTok,Fitness model; Hype House co-founder
Cash Baker,https://en.wikipedia.org/wiki/Cash_Baker,TikTok creator,2003,TikTok,TikTok lip-sync and music; Baker brothers
Maverick Baker,https://en.wikipedia.org/wiki/Maverick_Baker,TikTok creator,2003,TikTok,TikTok music and lip-sync; Baker brothers
Jayden Bartels,https://en.wikipedia.org/wiki/Jayden_Bartels,TikTok creator,2004,TikTok/YouTube,TikTok dancer; actress; music
Hayden Summerall,https://en.wikipedia.org/wiki/Hayden_Summerall,Content creator,2005,YouTube/Instagram,Singer and actor; Chicken Girls; social media
Woah Vicky,https://en.wikipedia.org/wiki/Woah_Vicky,TikTok creator,2000,Instagram/TikTok,Viral internet personality; controversial social media presence
