"name","handle_or_url","category","birth_year","platform","known_for","source_list"
"Faker","https://en.wikipedia.org/wiki/Faker_(gamer)","Esports","1996","League of Legends","6x LoL World Champion (2013,2015,2016,2023,2024,2025); most decorated esports player ever; first Hall of Legends inductee","esports_pros"
"s1mple","https://en.wikipedia.org/wiki/S1mple","Esports","1997","CS:GO/CS2","Considered greatest CS:GO player ever; 21 HLTV MVP medals; HLTV #1 player 2018,2021,2022; Major champion","esports_pros"
"ZywOo","https://en.wikipedia.org/wiki/ZywOo","Esports","2000","CS:GO/CS2","4x HLTV Player of the Year (2019,2020,2023,2025); 3x Major champion; 32x HLTV MVP; 2nd-youngest HLTV POY at 19","esports_pros"
"NiKo","https://en.wikipedia.org/wiki/NiKo","Esports","1997","CS:GO/CS2","10x HLTV Top 20 Player; considered best rifler in CS:GO history; Major champion; 10x HLTV MVP","esports_pros"
"dev1ce","https://en.wikipedia.org/wiki/Dev1ce","Esports","1995","CS:GO/CS2","4x Major champion with Astralis; 2x Major MVP; 19x HLTV Top 20; one of greatest CS players ever","esports_pros"
"Caps","https://en.wikipedia.org/wiki/Caps_(gamer)","Esports","1999","League of Legends","MSI champion 2019; 17x LEC champion; 7x LEC Finals MVP; regarded as greatest Western LoL player","esports_pros"
"Rekkles","https://en.wikipedia.org/wiki/Rekkles","Esports","1996","League of Legends","4x LEC champion; 4x LEC MVP; LoL World Championship runner-up 2018; pro since age 16","esports_pros"
"m0NESY","https://en.wikipedia.org/wiki/M0NESY","Esports","2005","CS2","HLTV 2022 Rookie of the Year; 4x HLTV Top 20 (#2 in 2024); 11x HLTV MVP; Major champion","esports_pros"
"donk","https://en.wikipedia.org/wiki/Donk_(esports)","Esports","2007","CS2","Youngest-ever HLTV Player of the Year at 17; CS2 Major winner Shanghai 2024; HLTV Major MVP","esports_pros"
"SumaiL","https://en.wikipedia.org/wiki/Sumail","Esports","1999","Dota 2","Youngest player to win The International (TI5, 2015 at age 16); youngest esports millionaire; $3.6M+ prize money","esports_pros"
"Yatoro","https://liquipedia.net/dota2/Yatoro","Esports","2003","Dota 2","2x The International champion (TI10 2021, TI12 2023); legendary carry player for Team Spirit","esports_pros"
"TenZ","https://en.wikipedia.org/wiki/TenZ","Esports","2001","Valorant/CS:GO","2x VCT Masters Champion; first NA player to reach Valorant Radiant rank; 4.5M Twitch followers","esports_pros"
"aspas","https://liquipedia.net/valorant/Aspas","Esports","2003","Valorant","VCT Champions 2022 winner with LOUD; Champions 2022 MVP; considered best duelist in Valorant","esports_pros"
"Demon1","https://liquipedia.net/valorant/Demon1","Esports","2002","Valorant","VCT Champions 2023 winner with Evil Geniuses; top fragger at Champions","esports_pros"
"Perkz","https://liquipedia.net/leagueoflegends/Perkz","Esports","1998","League of Legends","LEC champion; MSI finalist; one of most decorated Western LoL players; played Worlds finals","esports_pros"
"Jojopyun","https://liquipedia.net/leagueoflegends/Jojopyun","Esports","2002","League of Legends","Youngest player in LCS history at debut; LCS champion with Evil Geniuses 2022","esports_pros"
