candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,candidate-0001-ivana-trump,Ivana Trump,1949,BUSINESSPERSON,Czechia,F,56,85.696905,https://en.wikipedia.org/?curid=1057887,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
2,candidate-0002-warren-buffett,Warren Buffett,1930,BUSINESSPERSON,United States,M,102,81.983849,https://en.wikipedia.org/?curid=211518,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
3,candidate-0003-george-soros,George Soros,1930,BUSINESSPERSON,Hungary,M,81,81.387731,https://en.wikipedia.org/?curid=6951166,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
4,candidate-0004-jeff-bezos,Jeff Bezos,1964,BUSINESSPERSON,United States,M,96,81.129053,https://en.wikipedia.org/?curid=142528,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
5,candidate-0005-sepp-blatter,Sepp Blatter,1936,BUSINESSPERSON,Switzerland,M,80,80.940109,https://en.wikipedia.org/?curid=42278,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
6,candidate-0006-bernie-madoff,Bernie Madoff,1938,BUSINESSPERSON,United States,M,53,80.585044,https://en.wikipedia.org/?curid=20650188,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
7,candidate-0007-vince-mcmahon,Vince McMahon,1945,BUSINESSPERSON,United States,M,49,80.553901,https://en.wikipedia.org/?curid=303951,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
8,candidate-0008-david-j.-thouless,David J. Thouless,1934,PHYSICIST,United Kingdom,M,65,79.674445,https://en.wikipedia.org/?curid=5583178,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
9,candidate-0009-florentino-pérez,Florentino Pérez,1947,BUSINESSPERSON,Spain,M,52,78.855013,https://en.wikipedia.org/?curid=2919782,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
10,candidate-0010-sheldon-lee-glashow,Sheldon Lee Glashow,1932,PHYSICIST,United States,M,67,78.53011,https://en.wikipedia.org/?curid=396721,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
11,candidate-0011-satoshi-nakamoto,Satoshi Nakamoto,1975,COMPUTER SCIENTIST,Japan,M,54,78.042935,https://en.wikipedia.org/?curid=30128660,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
12,candidate-0012-bernard-arnault,Bernard Arnault,1949,BUSINESSPERSON,France,M,58,77.914748,https://en.wikipedia.org/?curid=882504,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
13,candidate-0013-joseph-hooton-taylor-jr.,Joseph Hooton Taylor Jr.,1941,ASTRONOMER,United States,M,66,77.511238,https://en.wikipedia.org/?curid=499509,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
14,candidate-0014-tim-cook,Tim Cook,1960,BUSINESSPERSON,United States,M,64,76.971105,https://en.wikipedia.org/?curid=46878774,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
15,candidate-0015-georg-bednorz,Georg Bednorz,1950,PHYSICIST,Germany,M,69,76.578776,https://en.wikipedia.org/?curid=7710506,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
16,candidate-0016-venkatraman-ramakrishnan,Venkatraman Ramakrishnan,1952,CHEMIST,India,M,70,76.443327,https://en.wikipedia.org/?curid=3421751,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
17,candidate-0017-carl-sagan,Carl Sagan,1934,ASTRONOMER,United States,M,101,76.232158,https://en.wikipedia.org/?curid=6824,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
18,candidate-0018-barry-barish,Barry Barish,1936,PHYSICIST,United States,M,56,76.204232,https://en.wikipedia.org/?curid=36535054,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
