candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-candidate-0001-bert-belder,Bert Belder,,Node.js contributor,,,,,https://en.wikipedia.org/wiki/Bert_Belder,unresearched,unverified_candidate,Curated: Node.js contributor
2,fe-candidate-0002-cristina-cordova,Cristina Cordova,,Stripe VP,,,,,https://en.wikipedia.org/wiki/Cristina_Cordova,unresearched,unverified_candidate,Curated: Stripe VP
3,fe-candidate-0003-david-f.-bacon,David F. Bacon,,American computer scientists,,,,,https://en.wikipedia.org/wiki/David_F._Bacon,unresearched,unverified_candidate,Wikipedia category: American computer scientists
4,fe-candidate-0004-darren-fisher,Darren Fisher,,Google engineer,,,,,https://en.wikipedia.org/wiki/Darren_Fisher,unresearched,unverified_candidate,Curated: Google engineer
5,fe-candidate-0005-jose-valim,Jose Valim,1985,Elixir creator,,,,,https://en.wikipedia.org/wiki/Jose_Valim,unresearched,unverified_candidate,Curated: Elixir creator
6,fe-candidate-0006-rob-ellis,Rob Ellis,,PhoneGap founder,,,,,https://en.wikipedia.org/wiki/Rob_Ellis,unresearched,unverified_candidate,Curated: PhoneGap founder
7,fe-candidate-0007-katie-bouman,Katie Bouman,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Katie_Bouman,unresearched,unverified_candidate,Wikipedia category: American computer scientists
8,fe-candidate-0008-m.-brian-blake,M. Brian Blake,,American computer scientists,,,,,https://en.wikipedia.org/wiki/M._Brian_Blake,unresearched,unverified_candidate,Wikipedia category: American computer scientists
9,fe-candidate-0009-anastasia-ailamaki,Anastasia Ailamaki,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Anastasia_Ailamaki,unresearched,unverified_candidate,Wikipedia category: American computer scientists
10,fe-candidate-0010-daniela-amodei,Daniela Amodei,1986,Anthropic founder,,,,,https://en.wikipedia.org/wiki/Daniela_Amodei,unresearched,unverified_candidate,Curated: Anthropic founder
11,fe-candidate-0011-dean-allemang,Dean Allemang,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Dean_Allemang,unresearched,unverified_candidate,Wikipedia category: American computer scientists
12,fe-candidate-0012-daniel-krugler,Daniel Krugler,,C++ library maintainer,,,,,https://en.wikipedia.org/wiki/Daniel_Krugler,unresearched,unverified_candidate,Curated: C++ library maintainer
13,fe-candidate-0013-susan-k.-land,Susan K. Land,,American software engineers,,,,,https://en.wikipedia.org/wiki/Susan_K._Land,unresearched,unverified_candidate,Wikipedia category: American software engineers
14,fe-candidate-0014-satoshi-nakamoto,Satoshi Nakamoto,,Bitcoin creator,,,,,https://en.wikipedia.org/wiki/Satoshi_Nakamoto,unresearched,unverified_candidate,Curated: Bitcoin creator
15,fe-candidate-0015-paul-dunahoo,Paul Dunahoo,,American software engineers,,,,,https://en.wikipedia.org/wiki/Paul_Dunahoo,unresearched,unverified_candidate,Wikipedia category: American software engineers
16,fe-candidate-0016-justin-schuh,Justin Schuh,,Chrome engineer,,,,,https://en.wikipedia.org/wiki/Justin_Schuh,unresearched,unverified_candidate,Curated: Chrome engineer
17,fe-candidate-0017-andrej-karpathy,Andrej Karpathy,1986,AI researcher,,,,,https://en.wikipedia.org/wiki/Andrej_Karpathy,unresearched,unverified_candidate,Curated: AI researcher
18,fe-candidate-0018-werner-vogels,Werner Vogels,1958,Amazon CTO,,,,,https://en.wikipedia.org/wiki/Werner_Vogels,unresearched,unverified_candidate,Curated: Amazon CTO
19,fe-candidate-0019-daniel-kaplan,Daniel Kaplan,,Mojang founder,,,,,https://en.wikipedia.org/wiki/Daniel_Kaplan,unresearched,unverified_candidate,Curated: Mojang founder
20,fe-candidate-0020-jean-luc-vaillant,Jean-Luc Vaillant,,LinkedIn founder,,,,,https://en.wikipedia.org/wiki/Jean-Luc_Vaillant,unresearched,unverified_candidate,Curated: LinkedIn founder
21,fe-candidate-0021-jeb_,Jeb_,1984,Minecraft developer,,,,,https://en.wikipedia.org/wiki/Jeb_,unresearched,unverified_candidate,Curated: Minecraft developer
22,fe-candidate-0022-donna-dubinsky,Donna Dubinsky,1955,Palm founder,,,,,https://en.wikipedia.org/wiki/Donna_Dubinsky,unresearched,unverified_candidate,Curated: Palm founder
23,fe-candidate-0023-doris-carver,Doris Carver,,American software engineers,,,,,https://en.wikipedia.org/wiki/Doris_Carver,unresearched,unverified_candidate,Wikipedia category: American software engineers
24,fe-candidate-0024-elette-boyle,Elette Boyle,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Elette_Boyle,unresearched,unverified_candidate,Wikipedia category: American computer scientists
25,fe-candidate-0025-erica-baker,Erica Baker,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Erica_Baker,unresearched,unverified_candidate,Wikipedia category: American computer scientists
26,fe-candidate-0026-justin-waldron,Justin Waldron,,Zynga founder,,,,,https://en.wikipedia.org/wiki/Justin_Waldron,unresearched,unverified_candidate,Curated: Zynga founder
27,fe-candidate-0027-una-kravets,Una Kravets,1990,web developer,,,,,https://en.wikipedia.org/wiki/Una_Kravets,unresearched,unverified_candidate,Curated: web developer
28,fe-candidate-0028-vaneet-aggarwal,Vaneet Aggarwal,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Vaneet_Aggarwal,unresearched,unverified_candidate,Wikipedia category: American computer scientists
29,fe-candidate-0029-margaret-k.-butler,Margaret K. Butler,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Margaret_K._Butler,unresearched,unverified_candidate,Wikipedia category: American computer scientists
30,fe-candidate-0030-jonathan-uesato,Jonathan Uesato,,Anthropic researcher,,,,,https://en.wikipedia.org/wiki/Jonathan_Uesato,unresearched,unverified_candidate,Curated: Anthropic researcher
31,fe-candidate-0031-douwe-kiela,Douwe Kiela,1988,Cohere researcher,,,,,https://en.wikipedia.org/wiki/Douwe_Kiela,unresearched,unverified_candidate,Curated: Cohere researcher
32,fe-candidate-0032-jonas-schnelli,Jonas Schnelli,,Bitcoin contributor,,,,,https://en.wikipedia.org/wiki/Jonas_Schnelli,unresearched,unverified_candidate,Curated: Bitcoin contributor
33,fe-candidate-0033-brian-valentine,Brian Valentine,,Microsoft VP,,,,,https://en.wikipedia.org/wiki/Brian_Valentine,unresearched,unverified_candidate,Curated: Microsoft VP
