name,birth_year,occupation,notes
Brian Acton,1972,founder,WhatsApp co-founder
Jan Koum,1970,founder,WhatsApp co-founder
Ben Silbermann,1982,founder,Pinterest founder
Jack Dorsey,1976,founder,Twitter/Square founder
Biz Stone,1974,founder,Twitter co-founder
Evan Williams,1972,founder,Twitter/Blogger founder
Noah Glass,1981,founder,Twitter co-founder
Chad Hurley,1977,founder,YouTube co-founder
Reed Hastings,1960,founder,Netflix founder
Pierre Omidyar,1967,founder,eBay founder
Larry Ellison,1944,founder,Oracle founder
Tom Anderson,1970,founder,MySpace co-founder
Chris DeWolf,1966,founder,MySpace co-founder
Mark Pincus,1966,founder,Zynga founder
Kevin Rose,1977,founder,Digg founder
Joshua Schachter,1974,founder,Delicious founder
Caterina Fake,1969,founder,Flickr co-founder
Stewart Butterfield,1973,founder,Flickr/Slack founder
Phil Zimmermann,1954,programmer,PGP creator
Dries Buytaert,1978,programmer,Drupal founder
Rasmus Lerdorf,1968,programmer,PHP creator
Guido van Rossum,1956,programmer,Python creator
Larry Wall,1954,programmer,Perl creator
Yukihiro Matsumoto,1965,programmer,Ruby creator
Brendan Eich,1961,programmer,JavaScript creator
James Gosling,1955,programmer,Java creator
Bjarne Stroustrup,1950,programmer,C++ creator
Anders Hejlsberg,1960,programmer,Turbo Pascal/Delphi/C# creator
Dennis Ritchie,1941,programmer,C/Unix creator
Brian Kernighan,1942,programmer,K&R C book
Rob Pike,1956,programmer,Plan 9/Go
Dave Cutler,1942,programmer,Windows NT/VMS
Tim Berners-Lee,1955,engineer,WWW inventor
Vint Cerf,1943,engineer,TCP/IP co-designer
Bob Kahn,1938,engineer,TCP/IP co-designer
Jon Postel,1943,engineer,DNS/RFC editor
Radia Perlman,1951,engineer,STP inventor
Paul Baran,1926,engineer,packet switching
Donald Davies,1924,engineer,packet switching
Leonard Kleinrock,1934,engineer,packet switching
J.C.R. Licklider,1915,engineer,ARPA computing vision
Douglas Engelbart,1925,engineer,mouse inventor
Alan Kay,1940,engineer,Smalltalk/OOP
Seymour Papert,1928,engineer,Logo/constructivism
Marvin Minsky,1927,researcher,AI pioneer
John McCarthy,1927,researcher,Lisp/AI
Norbert Wiener,1894,researcher,cybernetics
Konrad Zuse,1910,engineer,first programmable computer
Howard Aiken,1900,engineer,Harvard Mark I
Tom Kilburn,1921,engineer,Manchester Baby
Maurice Wilkes,1913,engineer,EDSAC
Jay Forrester,1918,engineer,Whirlwind/core memory
Eckert & Mauchly,1919,engineer,ENIAC
Grace Hopper,1906,engineer,compiler/COBOL
Anita Borg,1949,researcher,women in computing
Radia Joy Perlman,1951,researcher,networking
Sally Floyd,1950,researcher,TCP congestion control
Van Jacobson,1950,researcher,TCP/IP
S. Keshav,1960,researcher,networking
Deborah Estrin,1959,researcher,sensor networks
Jennifer Rexford,1969,researcher,routing
Hector Garcia-Molina,1953,researcher,databases
Raghu Ramakrishnan,1962,researcher,databases
Jim Gray,1944,researcher,databases
Michael Stonebraker,1943,researcher,Postgres
Edgar Codd,1923,researcher,relational model
C.J. Date,1941,researcher,relational theory
Don Chamberlin,1944,researcher,SQL
Ray Boyce,1947,researcher,SQL
Ronald Rivest,1947,researcher,RSA
Adi Shamir,1952,researcher,RSA
Leonard Adleman,1945,researcher,RSA
Whitfield Diffie,1944,researcher,public-key crypto
Martin Hellman,1945,researcher,public-key crypto
Ralph Merkle,1952,researcher,public-key crypto
Bruce Schneier,1963,researcher,cryptography
Phil Rogaway,1964,researcher,cryptography
Mihir Bellare,1962,researcher,cryptography
Shafi Goldwasser,1958,researcher,cryptography
Silvio Micali,1954,researcher,cryptography
Avi Wigderson,1956,researcher,complexity
Leslie Valiant,1949,researcher,complexity
Richard Karp,1935,researcher,complexity
Stephen Cook,1939,researcher,NP-completeness
Leonid Levin,1948,researcher,NP-completeness
Juris Hartmanis,1928,researcher,complexity classes
Manuel Blum,1934,researcher,complexity
Michael Rabin,1931,researcher,automata/crypto
Dana Scott,1932,researcher,automata
John Hopcroft,1939,researcher,algorithms
Robert Tarjan,1948,researcher,algorithms
Tony Hoare,1934,researcher,quicksort/CSP
Niklaus Wirth,1934,programmer,Pascal
Peter Naur,1928,researcher,BNF/programming
John Backus,1924,programmer,Fortran
Kenneth Iverson,1920,programmer,APL
Peter Landin,1930,researcher,lambda calculus
John C. Reynolds,1935,researcher,programming languages
Robin Milner,1934,researcher,ML/Hindley-Milner
Christopher Strachey,1916,researcher,programming languages
Peter Wegner,1932,researcher,OOP
Betty Holberton,1917,programmer,ENIAC/COBOL
Jean Bartik,1924,programmer,ENIAC
Frances Spence,1922,programmer,ENIAC
Kathleen Antonelli,1921,programmer,ENIAC
Ruth Lichterman,1924,programmer,ENIAC
Frances Bilas,1922,programmer,ENIAC
Marlyn Wescoff,1921,programmer,ENIAC
Adele Goldstine,1920,programmer,ENIAC docs
Mary K. Hawes,1927,programmer,COBOL
Jean Sammet,1928,programmer,COBOL
Erna Schneider Hoover,1926,engineer,computerized telephone switching
Karen Spärck Jones,1935,researcher,IR/NLP
Adele Goldberg,1945,researcher,Smalltalk
Wendy Hall,1952,researcher,hypermedia
Judith Estrin,1953,founder,networking companies
Sandy Lerner,1952,founder,Cisco co-founder
Len Bosack,1952,founder,Cisco co-founder
Andy Bechtolsheim,1955,founder,Sun/Cisco investor
Vinod Khosla,1955,founder,Sun co-founder
Bill Joy,1954,programmer,BSD Unix/Sun
Scott McNealy,1954,founder,Sun co-founder
John Gage,1942,engineer,Sun
Kim Polese,1961,founder,Marimba/Java marketing
Jim Barksdale,1943,founder,Netscape CEO
Sabeer Bhatia,1968,founder,Hotmail
Jack Smith,1968,founder,Hotmail
Meg Whitman,1956,founder,eBay CEO
Shel Kaphan,1954,engineer,Amazon first engineer
Paul Graham,1964,founder,Viaweb/Y Combinator
Robert Morris,1965,founder,Viaweb
Trevor Blackwell,1969,founder,Viaweb
Jessica Livingston,1971,founder,YC co-founder
Chris Wanstrath,1985,founder,GitHub
Tom Preston-Werner,1979,founder,GitHub
PJ Hyett,1979,founder,GitHub
Devon Zuegel,1994,engineer,GitHub
Mitchell Baker,1957,founder,Mozilla
Blake Ross,1985,programmer,Firefox
Dave Hyatt,1977,programmer,Firefox/Safari
Håkon Wium Lie,1965,researcher,CSS inventor
Bert Bos,1963,researcher,CSS co-inventor
Tim Bray,1950,engineer,XML/Android
Jon Bosak,1948,engineer,XML
James Clark,1964,programmer,XML/SGML
Dave Winer,1955,programmer,RSS/XML-RPC
Adam Curry,1964,founder,podcasting
Ben Goodger,1980,programmer,Firefox/Chrome
Sundar Pichai,1972,founder,Google CEO
Marissa Mayer,1975,founder,Yahoo CEO
Sheryl Sandberg,1969,founder,Facebook COO
Susan Wojcicki,1968,founder,YouTube CEO
Anne Wojcicki,1973,founder,23andMe
Eric Schmidt,1955,founder,Google CEO
Urs Hölzle,1962,engineer,Google infrastructure
Jeff Dean,1968,researcher,Google MapReduce/BigTable
Sanjay Ghemawat,1966,researcher,Google infrastructure
Amit Singhal,1968,researcher,Google Search
Yann LeCun,1960,researcher,deep learning/CNN
Geoffrey Hinton,1947,researcher,deep learning/backprop
Joshua Bengio,1964,researcher,deep learning
Yoshua Bengio,1964,researcher,deep learning
