person_id,name,source_index,source_url,source_role,retrieval_date,audit_status
bill-gates,Bill Gates,1,https://en.wikipedia.org/wiki/Bill_Gates,primary_row_source,,not_independently_audited
bill-gates,Bill Gates,2,https://www.gatesfoundation.org/ideas/speeches/2005/09/bill-gates-lakeside-school,supporting_source,,not_independently_audited
bill-gates,Bill Gates,3,https://achievement.org/achiever/william-h-gates-iii/,supporting_source,,not_independently_audited
steve-jobs,Steve Jobs,1,https://en.wikipedia.org/wiki/Steve_Jobs,primary_row_source,,not_independently_audited
steve-wozniak,Steve Wozniak,1,https://en.wikipedia.org/wiki/Steve_Wozniak,primary_row_source,,not_independently_audited
michael-dell,Michael Dell,1,https://en.wikipedia.org/wiki/Michael_Dell,primary_row_source,,not_independently_audited
mark-zuckerberg,Mark Zuckerberg,1,https://en.wikipedia.org/wiki/Mark_Zuckerberg,primary_row_source,,not_independently_audited
mark-zuckerberg,Mark Zuckerberg,2,https://www.newyorker.com/magazine/2010/09/20/the-face-of-facebook,supporting_source,,not_independently_audited
dustin-moskovitz,Dustin Moskovitz,1,https://en.wikipedia.org/wiki/Dustin_Moskovitz,primary_row_source,,not_independently_audited
eduardo-saverin,Eduardo Saverin,1,https://en.wikipedia.org/wiki/Eduardo_Saverin,primary_row_source,,not_independently_audited
sean-parker,Sean Parker,1,https://en.wikipedia.org/wiki/Sean_Parker,primary_row_source,,not_independently_audited
shawn-fanning,Shawn Fanning,1,https://en.wikipedia.org/wiki/Shawn_Fanning,primary_row_source,,not_independently_audited
marc-andreessen,Marc Andreessen,1,https://en.wikipedia.org/wiki/Marc_Andreessen,primary_row_source,,not_independently_audited
larry-page,Larry Page,1,https://en.wikipedia.org/wiki/Larry_Page,primary_row_source,,not_independently_audited
larry-page,Larry Page,2,https://achievement.org/achiever/larry-page/,supporting_source,,not_independently_audited
sergey-brin,Sergey Brin,1,https://en.wikipedia.org/wiki/Sergey_Brin,primary_row_source,,not_independently_audited
jerry-yang,Jerry Yang,1,https://en.wikipedia.org/wiki/Jerry_Yang,primary_row_source,,not_independently_audited
elon-musk,Elon Musk,1,https://en.wikipedia.org/wiki/Elon_Musk,primary_row_source,,not_independently_audited
max-levchin,Max Levchin,1,https://en.wikipedia.org/wiki/Max_Levchin,primary_row_source,,not_independently_audited
tony-hsieh,Tony Hsieh,1,https://en.wikipedia.org/wiki/Tony_Hsieh,primary_row_source,,not_independently_audited
garrett-camp,Garrett Camp,1,https://en.wikipedia.org/wiki/Garrett_Camp,primary_row_source,,not_independently_audited
aaron-levie,Aaron Levie,1,https://en.wikipedia.org/wiki/Aaron_Levie,primary_row_source,,not_independently_audited
dylan-smith,Dylan Smith,1,https://en.wikipedia.org/wiki/Dylan_Smith,primary_row_source,,not_independently_audited
alexis-ohanian,Alexis Ohanian,1,https://en.wikipedia.org/wiki/Alexis_Ohanian,primary_row_source,,not_independently_audited
steve-huffman,Steve Huffman,1,https://en.wikipedia.org/wiki/Steve_Huffman,primary_row_source,,not_independently_audited
sam-altman,Sam Altman,1,https://en.wikipedia.org/wiki/Sam_Altman,primary_row_source,,not_independently_audited
